,budget,popularity,runtime,revenue,homepage_bool,belongs_to_collection_bool,en_film,procoun_num,usa_production,lang_num,released,has_tagline,cast_size,crew_size,year,month,genre_name,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,None,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,14000000.0,6.575393,93.0,12314651,0,1,1,3.0,1,1.0,1,1,24.0,72.0,2015,2,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40000000.0,8.248895,113.0,95149435,0,1,1,1.0,1,1.0,1,1,20.0,9.0,2004,8,"['Comedy', 'Drama', 'Family', 'Romance']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,3300000.0,64.29999,105.0,13092000,1,0,1,3.0,1,1.0,1,1,51.0,64.0,2014,10,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1200000.0,3.174936,122.0,16000000,1,0,0,2.84634317862166,0,2.0,1,0,7.0,3.0,2012,3,"['Thriller', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,,1.14807,118.0,3923970,0,0,0,2.84634317862166,0,1.0,1,0,4.0,2.0,2009,2,"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,8000000.0,0.743274,83.0,3261638,0,0,1,2.84634317862166,0,1.0,1,0,4.0,11.0,1987,8,"['Animation', 'Adventure', 'Family']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14000000.0,7.286477,92.0,85446075,1,0,1,2.0,1,1.0,1,1,14.0,77.0,2012,8,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7,,1.949044,84.0,2586511,0,0,1,2.84634317862166,0,2.0,1,1,4.0,1.0,2004,1,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,6.902423,100.0,34327391,0,1,1,3.0,1,1.0,1,1,12.0,8.0,1996,2,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,6000000.0,4.672036,91.0,18750246,0,0,1,1.0,1,1.0,1,1,20.0,11.0,2003,4,"['Comedy', 'Music']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
