,revenue
611,1983204
530,36000000
2787,157107755
49,120000000
1883,17137302
1011,41410568
858,558000
1017,29000000
48,653951
719,190000
2390,10000000
2652,11000000
2246,4417667
1159,147332697
632,30102717
1338,7070330
2127,93375151
2602,538000
1436,1100000
25,8403433
2965,441809770
219,3166000
2818,9317021
276,14000000
2157,52287414
1480,5000000
1235,7644937
1593,92374674
999,17808
2140,4291965
361,9700000
1457,7205
1993,4571025
1671,24769466
2334,22896728
1650,63463
1835,7282851
1114,12355798
1846,530048
1317,499168
2629,32709423
297,56489558
1313,49100000
937,37884
240,5790448
1432,205298907
582,4001121
2906,227799884
1954,50021959
1334,227817248
1729,13000000
1672,66821036
350,121790373
2745,637769
1220,20566327
349,3515061
1518,269823
2547,585349010
643,8026971
2835,21409028
944,11301649
1462,6491240
657,13000000
2702,34742066
2893,141000000
1236,80154140
2467,41382841
647,2500000
1125,105178561
1110,3021629
2650,8900000
1940,24048000
538,474171806
1048,26888376
2983,791830
2375,95673607
2209,961000000
2338,100853753
2162,38290723
801,14016568
786,70067909
2694,76657000
2040,9234510
788,2334228
2183,918239
2468,14048372
2013,100544
714,29174648
803,32056467
2008,121129
2761,48298
123,91036760
1808,217201
2286,152930623
2147,33395426
618,27092880
406,14110589
1157,7339398
1068,9518342
1133,11540607
2905,589304
497,44065653
1061,8692426
325,294456605
342,152810
2356,17218080
2266,374111707
782,332000000
2367,27734391
299,26055
1461,442965
2373,87100449
303,22886222
1237,4491986
2571,126150
1656,62000000
664,70
1690,5240
220,10652498
1626,540152
1188,34664
1455,3752426
449,5989640
2002,59217789
2616,57915972
84,13101672
941,758539785
961,933959197
841,11449638
1326,1117920
2378,9789900
2430,10000000
1373,2106557
290,254700832
1867,17037887
1554,10676194
604,26414658
2032,25
916,28451622
2632,33463969
2337,8362969
2098,182857
2437,325756637
821,2600000
2469,78382433
1000,13878334
1703,3867000
18,1749457
1777,13308
1208,213954274
2560,12065892
1936,14051384
1718,1248748
1427,119772232
2241,41744718
2310,7900000
1357,544476
2057,239894
360,3162153
2270,3000000
2084,5844868
1564,35485608
344,50549107
986,19738015
1260,3099314
1713,101191884
1720,85313124
2646,7778177
2886,202000
1575,11582891
85,152022101
2063,6861102
668,419953
1014,957240
128,46201432
1873,72287783
1146,161410
891,37962774
2471,14010832
307,22678555
383,68929150
1833,1200627
1127,14010690
426,18197398
494,7306
1565,133346506
2791,4630045
2611,84431625
1251,296000000
1295,87987055
275,602042
489,609524
1957,119946358
690,6000000
2051,1494399
2238,5820015
1242,38793283
2673,300653
2079,263000
1058,1108462
118,1796389
1995,235666219
2285,1200398
281,66486080
2807,22175908
2335,263404
2762,22540359
2945,37600000
1179,24689703
1602,3206713
2116,185260553
304,6193901
1844,1046166
1356,25000
2436,3376375
575,20710451
1871,215394738
2845,28200
2623,90024292
1417,176997168
1795,2000000
843,27187375
2812,282358
269,20
629,12413650
1033,29235353
286,276921998
2211,136400000
300,48572000
1510,118063304
1811,435000000
65,11806119
2397,309492681
890,8125592
1767,8533973
1731,4900000
1376,923
230,72178895
503,13071518
2459,268426634
1350,5200000
1444,34710627
2551,23619609
1004,4235151
836,21520719
1588,23083334
374,17000000
1352,11466088
2110,12000000
1786,94633
1803,15425
2071,15704614
751,113244290
99,46616067
1723,167977596
866,8000000
910,2340
2009,340312
529,38159905
636,36565280
185,161001698
1187,44566
1971,10364904
931,645135
1381,25000000
2295,5255
2382,18124262
2401,37000000
1999,27200316
607,429766
2896,645186
151,16905
1283,350006
2262,19701164
731,56666667
1337,2600000
1598,373062864
2840,1124445
23,17011
2857,6500000
158,19412993
861,97542952
902,786636033
2655,378667
2937,48418160
444,47748
2938,403170142
754,10409377
923,191125
2970,411006740
2102,157100845
311,12250
548,81705746
1945,712294
